MT-CO1	COX1
TBC1D3I	MSB4
NFYB	HAP3
AGAP4	AGE2
SNRPD2	SMD2
CERK	LCB4
CERK	LCB5
TBC1D2	MDR1
ALPP	PHO8
NTMT1	TAE1
ITCH	RSP5
RAE1	GLE2
GCK	GLK1
GCK	HXK2
HSD3B7	ERG26
PIK3C2A	VPS34
RFWD2	HAT2
RWDD1	GIR2
SNRNP200	SLH1
KLHDC10	KEL2
KLHDC10	KEL1
DHTKD1	KGD1
METAP1D	MAP1
UBA52	RPL40A
UBA52	RPL40B
GLDC	GCV2
ACTL8	ARP1
PRKAA1	SNF1
DDX47	RRP3
MCM2	MCM2
YWHAB	BMH1
YWHAB	BMH2
SIN3B	SIN3
REPS2	EDE1
SNX2	VPS5
ALDH16A1	ALD4
RASGEF1C	CDC25
PTPRH	PTP1
MRPS16	MRPS16
ARHGEF1	ROM1
ARHGEF1	ROM2
TXNRD3	GLR1
PRKAR2A	BCY1
DYRK1B	YAK1
GEN1	RAD27
KIFC3	KAR3
ABCB1	STE6
PPP3CB	CMP2
PPP3CB	CNA1
SLC35B3	HUT1
SCD	OLE1
EIF2AK1	GCN2
RAD54L	RAD54
PAPSS1	MET14
TUBGCP2	SPC98
GK2	GUT1
DDX60L	MTR4
FOXG1	FKH2
FOXG1	FKH1
FOXG1	FHL1
UBE2F-SCLY	UBC12
HCFC2	KEL2
HCFC2	KEL1
PRDX3	TSA2
PRDX3	TSA1
ERCC1	RAD10
HSPA2	SSB1
SNAP91	YAP1801
SNAP91	YAP1802
SORCS2	PEP1
SORCS2	VTH1
SORCS2	VTH2
MYH11	MYO1
ENPEP	APE2
ENPEP	AAP1
SKIV2L2	MTR4
SUMO2	SMT3
UTP14C	UTP14
RAPGEF5	CDC25
ALG11	ALG11
SBK3	CHK1
PIGN	MCD4
NOB1	NOB1
DMPK	CBK1
PPP2R2D	CDC55
SGSM3	MDR1
HGH1	HGH1
KIAA1109	CSF1
PEX14	PEX14
USP17L12	UBP8
TSEN34	SEN34
SMPD2	ISC1
UTP15	UTP15
ESPL1	ESP1
GPN1	NPA3
PIK3CG	VPS34
MYO7B	MYO2
UBA2	UBA2
USP17L13	UBP8
MINK1	KIC1
UTP23	UTP23
YKT6	YKT6
SDR9C7	LYS2
DDX3Y	DED1
DDX3Y	DBP1
CHN2	BEM2
ENO2	ENO1
PSMD8	RPN12
AHSA2	AHA1
NME9	YNK1
SLC2A14	VPS73
HDAC10	HDA1
GGT1	ECM38
RAB43	YPT31
RAB43	YPT32
CCDC25	JLP2
ACACA	ACC1
PIP4K2C	MSS4
TYW1	TYW1
ARL15	ARL1
NCS1	FRQ1
NOLC1	SRP40
ATPAF1	ATP11
FBP2	FBP1
DDX58	MPH1
DBR1	DBR1
MTMR9	YMR1
PFKM	PFK2
PFKM	PFK1
FOXP4	FKH2
FOXP4	FKH1
FOXP4	FHL1
ADCK5	MCP2
RAPGEF2	CDC25
AP1S1	APS1
PIGU	GAB1
NCOR2	SNT1
LATS2	CBK1
EXO1	EXO1
EXO1	DIN7
SLK	KIC1
RPS6KA6	YPK1
RPS6KA6	YPK2
RPS6KA6	SCH9
H2AFY	HTA2
TGIF2LY	CUP9
TGIF2LY	TOS8
MNAT1	TFB3
CPS1	CPA2
SNRPA	MSL1
CNNM2	MAM3
WIPI1	ATG18
ZDHHC3	PFA3
DAZAP1	HRP1
RPL10L	RPL10
MAP3K19	BCK1
MAP3K19	STE11
PRPF4B	YAK1
SENP2	ULP1
PIK3C2B	VPS34
RFX2	RFX1
VPS45	VPS45
TBCEL	PAC2
RPL19	RPL19B
RPL19	RPL19A
PRIM1	PRI1
FIGNL1	YTA6
FIGNL1	SAP1
ZDHHC11	ERF2
UBE2D4	UBC4
USP17L11	UBP8
BRD4	BDF1
BRD4	BDF2
AMD1	SPE2
TWF2	TWF1
NAA16	NAT1
PHLPP1	CYR1
TGIF2LX	CUP9
TGIF2LX	TOS8
POLI	REV1
SHMT2	SHM1
SHMT2	SHM2
TBC1D22B	GYP1
UBE2T	UBC13
TMED7-TICAM2	EMP24
SLC25A35	OAC1
DNAJA1	YDJ1
NOP56	NOP56
MPPE1	CDC1
HPCA	FRQ1
HDAC4	HDA1
GGTLC1	ECM38
FKBP15	FPR3
FKBP15	FPR4
NOP10	NOP10
TAF5L	TAF5
THUMPD1	TAN1
ATP23	ATP23
GATB	PET112
GPI	PGI1
RABGAP1	GYP5
RABGAP1	GYL1
PCSK5	KEX2
ABCB9	MDL2
ABCB9	MDL1
DYRK1A	YAK1
KMT2D	SET1
SLC2A5	VPS73
RNF144B	ITT1
ACSBG2	FAA2
AK3	ADK2
RGPD3	YRB1
ATP6V1A	VMA1
HNRNPA0	HRP1
GOT2	AAT2
DECR1	SPS19
KLF18	FZF1
CPB2	ECM14
RPA1	RFA1
TEAD3	TEC1
ARFGAP3	GLO3
PSMD6	RPN7
ODC1	SPE1
RPS19	RPS19A
MYO1H	MYO5
MYO1H	MYO3
TMLHE	AIM17
SF3B3	RSE1
SF3A1	PRP21
LRRC23	GUK1
PXMP2	SYM1
KIAA0368	ECM29
SBF1	YMR1
MAPK13	HOG1
TAOK2	KIC1
PDILT	PDI1
PDILT	EUG1
PPP2R5C	RTS1
CDC73	CDC73
PGM3	PCM1
PFAS	ADE6
BMP2K	ARK1
BMP2K	AKL1
BMP2K	PRK1
CFL1	COF1
NOCT	CCR4
IQCA1L	YTA6
IQCA1L	SAP1
SMC3	SMC3
ARF1	ARF2
DOHH	LIA1
AC006486.9	RIM11
AC006486.9	MRK1
ACAA1	POT1
GSK3A	RIM11
GSK3A	MRK1
ABHD2	EEB1
ABHD2	EHT1
PRPSAP1	PRS3
PRPSAP1	PRS4
PRPSAP1	PRS2
CORO1A	CRN1
PDPK1	PKH1
PDPK1	PKH2
SURF4	ERV29
CHKB-CPT1B	CKI1
CHKB-CPT1B	EKI1
NAP1L1	NAP1
ITPA	HAM1
RDH14	ENV9
ASAP2	AGE2
PTPN9	PTP1
VPS26A	PEP8
PGAM4	GPM1
IFT27	YPT10
IFT27	YPT52
TVP23C-CDRT4	TVP23
SLC25A36	RIM2
SUMO1	SMT3
ARHGEF28	ROM1
ARHGEF28	ROM2
AEN	REX4
PPP1CB	GLC7
PGRMC1	DAP1
PSMD2	RPN1
TBC1D1	GYP5
TBC1D1	GYL1
APEX1	APN2
ATR	MEC1
RFC3	RFC5
WARS	WRS1
SEPT6	CDC3
ENOPH1	UTR4
MYL6B	MLC1
PGD	GND1
PGD	GND2
CHAC1	GCG1
RAC1	CDC42
PIK3C3	VPS34
ANKIB1	HEL1
WDR86	MET30
ING5	PHO23
FOXH1	FKH2
FOXH1	FKH1
FOXH1	FHL1
CTDNEP1	NEM1
RHOV	CDC42
DNAJB1	SIS1
SETX	SEN1
SEPT10	CDC3
WDR25	CDC40
PGGT1B	BET2
EXOSC9	RRP45
TRAPPC3L	BET3
ACTRT2	ACT1
ACSM1	ACS1
ACSM1	ACS2
SLC30A6	MSC2
PC	PYC1
SNX3	SNX3
ABCG8	ADP1
RHOF	RHO1
HDLBP	SCP160
DKC1	CBF5
RP5-1021I20.4	ZTA1
EGR4	MIG1
EGR4	MIG2
EGR4	MIG3
BPTF	GCN5
CSTF1	TAF5
KIFC2	KAR3
OTC	ARG3
XRN1	XRN1
KIF18B	KIP3
SNRPB2	MSL1
RP11-140L24.4	PRE5
HEATR1	UTP10
STX16-NPEPL1	TLG2
TOMM40L	TOM40
ABAT	UGA1
LONP2	PIM1
SGTB	SGT2
CYB5R4	CBR1
CYB5R4	PGA3
LDHD	DLD1
USP41	UBP15
ENTPD4	YND1
UBR3	UBR2
UBR3	UBR1
HIST3H3	HHT1
HIST3H3	HHT2
MRPL39	THS1
USP21	UBP5
USP21	DOA4
GCAT	HEM1
ARHGAP17	RGA1
ARHGAP17	RGA2
CCT7	CCT7
OSBPL7	OSH2
OSBPL7	SWH1
TAP1	MDL2
TAP1	MDL1
EXOG	NUC1
DDX27	DRS1
TBC1D2B	MDR1
RBMS3	PAB1
NEK1	KIN3
ADIPOR1	IZH2
ADIPOR1	IZH1
SLC15A3	PTR2
STK38	CBK1
SRSF5	NPL3
RPS21	RPS21A
ABCE1	RLI1
OSBPL5	OSH7
OSBPL5	OSH6
MYO1A	MYO5
MYO1A	MYO3
RPL34	RPL34B
MX1	VPS1
MX1	DNM1
RPS6KA2	YPK1
RPS6KA2	YPK2
RPS6KA2	SCH9
COX15	COX15
SMS	SPE3
PSMC2	RPT1
GAPDH	TDH3
PIGO	GPI13
BDH2	SPS19
PELO	DOM34
NAALAD2	VPS70
MBOAT2	ALE1
AMPD2	AMD1
MOGS	CWH41
MARS2	MSM1
SUMO4	SMT3
CDC123	CDC123
VSNL1	FRQ1
SLC32A1	AVT1
PANK4	CAB1
DNAJC5	SIS1
SEC61A1	SEC61
CCNA2	CLB4
CCNA2	CLB6
CCNA2	CLB5
CCNA2	CLB1
CCNA2	CLB2
CCNA2	CLB3
CTD-2207O23.3	ROM1
CTD-2207O23.3	ROM2
DUS3L	DUS3
PABPC5	PAB1
RAB1A	YPT1
GOLT1B	GOT1
TBC1D20	GYP8
DDX54	DBP10
SMARCA2	SNF2
SMARCA2	STH1
PTPN18	PTP1
ERCC5	RAD2
MTMR1	YMR1
LSM3	LSM3
KIF4B	KIP3
MRPL13	MRPL23
PKLR	PYK2
PKLR	CDC19
RP3-461F17.3	EMG1
NUBP1	NBP35
VPS41	VPS41
RPRD1A	RTT103
DUSP23	CDC14
AK5	URA6
YPEL1	MOH1
CLCN1	GEF1
CABP4	CMD1
ALG14	ALG14
KDELR3	ERD2
RPS16	RPS16B
RPS16	RPS16A
GTF2F2	TFG2
TECR	TSC13
RAB3C	YPT1
SPAG1	STI1
TONSL	HOS4
DPP10	STE13
DPP10	DAP2
WDR47	STE4
RAB32	YPT7
LNPEP	APE2
LNPEP	AAP1
LSM4	LSM4
EGR1	MIG1
EGR1	MIG2
EGR1	MIG3
MYH7	MYO1
HSPA4	SSE2
ATG5	ATG5
ABCC10	YCF1
TAF13	TAF13
ABCG1	ADP1
SLC11A2	SMF1
SLC11A2	SMF3
SLC11A2	SMF2
ACTR6	ARP6
SCD5	OLE1
YWHAZ	BMH1
YWHAZ	BMH2
UBQLN3	DSK2
LARS2	NAM2
EBNA1BP2	EBP2
DNA2	DNA2
FTSJ3	SPB1
SEC61G	SSS1
DHODH	URA1
TCP11	SOK1
PPP2R1A	TPD3
DECR2	SPS19
EMG1	EMG1
ELAVL3	PAB1
ARPC4	ARC19
COPZ1	RET3
ACY1	CPS1
PAK1IP1	MAK11
RP11-111K18.1	PRE8
ACSS2	ACS1
ACSS2	ACS2
ACER3	YDC1
ACER3	YPC1
RPS6KA3	YPK1
RPS6KA3	YPK2
RPS6KA3	SCH9
TGIF2	CUP9
TGIF2	TOS8
SLC2A10	ITR1
SLC2A10	ITR2
RDH8	LYS2
RNPEPL1	LAP2
AWAT1	DGA1
EMC1	EMC1
PRODH	PUT1
YPEL4	MOH1
DCP2	DCP2
RPAP3	STI1
PTGR2	ZTA1
ISY1-RAB43	ISY1
FOXO3	HCM1
EIF2S3L	GCD11
SLF1	HOS4
RPL3L	RPL3
YWHAH	BMH1
YWHAH	BMH2
VAMP1	SNC2
VAMP1	SNC1
DRG1	RBG1
PPP3R1	CNB1
ABCC12	BPT1
GBE1	GLC3
VPS13A	VPS13
RAB2B	YPT31
RAB2B	YPT32
CHD1L	ISW2
KPNA3	SRP1
USP6	UBP12
LENG8	THP3
SLC36A4	AVT4
SLC36A4	AVT3
CNDP1	DUG1
CDYL	ECI1
CDYL	DCI1
ALDH18A1	PRO2
FOXO6	HCM1
ICK	IME2
AHCYL1	SAH1
PSMD12	RPN5
XPO5	MSN5
HIST1H2BA	HTB1
BRSK1	KCC4
BRSK1	HSL1
BRSK1	GIN4
ERGIC1	ERV46
NIT2	NIT3
PSMC3	RPT5
RPL10	RPL10
ARL3	ARF2
ATP2B4	PMC1
UROS	HEM4
RASD2	RSR1
HELZ	NAM7
TICAM2	EMP24
CACNA1E	CCH1
ACLY	LSC1
VPS16	VPS16
IQSEC2	SEC7
ONECUT2	COY1
RPS3	RPS3
TBC1D25	GYP7
WDR45B	HSV2
CUL2	CDC53
TM9SF1	EMP70
TM9SF1	TMN2
AGXT2	ARG8
CORO2B	CRN1
KLF1	FZF1
OCRL	INP53
OCRL	INP51
OCRL	INP52
PPM1E	PTC1
MEIS1	CUP9
MEIS1	TOS8
SBK2	CHK1
PSMA2	PRE8
EXOC6	SEC15
COQ8B	COQ8
SIRT3	HST2
FDPS	ERG20
FBXL4	GRR1
ZC3H15	TMA46
POLR2G	RPB7
CORO7	CRN1
AHSA1	AHA1
AP1S2	APS1
ENTPD5	GDA1
CTR9	CTR9
SMG1	TOR1
NOC3L	NOC3
ACOX1	POX1
PDS5A	PDS5
HNRNPA2B1	HRP1
PRMT1	HMT1
FEN1	RAD27
EHD2	EDE1
ANPEP	APE2
ANPEP	AAP1
PES1	NOP7
TRAPPC3	BET3
PKNOX2	CUP9
PKNOX2	TOS8
RNF113B	CWC24
HSD17B14	SPS19
ST20-MTHFS	FAU1
GTF2B	SUA7
SLC30A10	ZRC1
SLC30A10	COT1
RP11-745O10.4	BXI1
ASNS	ASN2
ALG5	ALG5
MSH5-SAPCD1	MSH5
TNPO1	KAP104
STX5	SED5
RNASEH2A	RNH201
KMT2A	SET1
GATA5	GZF3
GATA5	GAT1
GATA5	DAL80
GATA5	GLN3
SEPT11	CDC3
DDX1	DED1
DDX1	DBP1
RNF10	MAG2
TGFBRAP1	VAM6
NME1	YNK1
SUV39H2	SET2
KIF27	KIP3
UQCRB	QCR7
STX1A	SSO1
STX1A	SSO2
RBKS	RBK1
PIK3C2G	VPS34
SPTLC3	LCB2
LSM14A	SCD6
GNB3	STE4
NAP1L4	NAP1
ZADH2	ZTA1
WBSCR22	BUD23
METTL14	KAR4
HMBS	HEM3
RP11-302B13.5	ARF2
AGAP5	AGE2
AKT1	YPK1
AKT1	YPK2
AKT1	SCH9
KATNB1	PRP4
TMBIM4	BXI1
PPIH	CPR2
PPIH	CPR5
NUDT5	YSA1
ATP11B	DRS2
ZGRF1	NAM7
TAF11	TAF11
MAP4K1	KIC1
SKIV2L	MTR4
GPX3	HYR1
GPX3	GPX1
SF3A2	PRP11
SEPT8	CDC3
PI4K2B	LSB6
EIF2B2	GCD7
ERMP1	PFF1
DYNLL2	DYN2
PRDX6	PRX1
RNMT	ABD1
PCBP3	PBP2
GALK1	GAL1
GALK1	GAL3
LSM7	LSM7
RAB33A	YPT10
RAB33A	YPT52
NME2	YNK1
LIPA	TGL1
NADSYN1	QNS1
UTP6	UTP6
SEC31A	SEC31
MAPK14	HOG1
RASL11B	RHB1
SEL1L	HRD3
MIP	AQY1
MIP	AQY2
DDX3X	DED1
DDX3X	DBP1
ADK	ADO1
NEK8	KIN3
UBR5	TOM1
PTPRQ	PTP1
POMT2	PMT6
POMT2	PMT2
POMT2	PMT3
SLC7A9	MUP1
SLC7A9	MUP3
KAT6B	ESA1
NMD3	NMD3
CHD3	CHD1
CTSA	PRC1
ATP6V1D	VMA8
CYB5RL	AIM33
CYB5RL	MCR1
FKBP6	FPR1
SYVN1	HRD1
PRKCG	PKC1
DNM1	VPS1
DNM1	DNM1
HDAC5	HDA1
MTG1	MTG1
MSH6	MSH6
ERAP2	APE2
ERAP2	AAP1
RPL14	RPL14B
PTRH2	PTH2
TMED3	EMP24
RASA4	BUD2
TBL1XR1	SIF2
ALDH1A1	ALD4
EIF4E2	CDC33
PPIL2	CPR2
PPIL2	CPR5
CAMKK2	TOS3
CAMKK2	SAK1
TNNC2	CMD1
RPL35A	RPL33B
ATP7A	CCC2
PRKCE	PKC1
WHSC1	SET2
MCM8	MCM2
METTL6	ABP140
PRMT6	HMT1
CHD5	CHD1
AP2S1	APS1
CYB5A	CYB5
HK1	GLK1
HK1	HXK2
PYGB	GPH1
YWHAQ	BMH1
YWHAQ	BMH2
PSAT1	SER1
RAD54B	RDH54
H2AFV	HTZ1
MAST3	FPK1
MAST3	KIN82
MND1	MND1
RTEL1	CHL1
TRMT10C	TRM10
MEF2C	SMP1
TAF9	TAF9
TXNL4A	DIB1
CLK3	KNS1
ZFAND4	RPL40A
ZFAND4	RPL40B
NDOR1	TAH18
TBPL2	SPT15
TBC1D8	MDR1
PSMD13	RPN9
RAP2A	RSR1
SLC2A2	VPS73
MRPL12	MNP1
POLA1	POL1
RPL27A	RPL28
ZMIZ2	NFI1
ZMIZ2	SIZ1
SENP7	ULP2
ACTL7B	ACT1
ATP8A1	DRS2
BDH1	LYS2
ATP5A1	ATP1
GOSR1	GOS1
MBOAT7	ALE1
ANKRD55	AVO2
PIP5K1B	MSS4
RRN3	RRN3
TAF7L	TAF7
NPRL2	NPR2
GYS1	GSY2
ABCB5	STE6
COQ7	CAT5
VAMP3	SNC2
VAMP3	SNC1
PHF5A	RDS3
DIS3L	DIS3
SNAPC4	BAS1
TREH	NTH2
TREH	NTH1
MAD2L1	MAD2
CECR2	GCN5
TADA2A	ADA2
VAMP8	SNC2
VAMP8	SNC1
LIPK	TGL1
MAP3K4	SSK22
MAP3K4	SSK2
EP400NL	SWR1
CLTCL1	CHC1
MYBL2	BAS1
EFL1	RIA1
USP11	UBP12
PRKCD	PKC1
RAB17	YPT53
RAB17	VPS21
GCN1	GCN1
DEPDC5	IML1
SLC25A34	OAC1
MYH10	MYO1
MYO6	MYO4
BUB1B-PAK6	STE20
HIPK1	YAK1
FASN	CEM1
WSB1	CIA1
NOC2L	NOC2
ARG2	CAR1
TPI1	TPI1
WDR46	UTP7
MAP2K4	PBS2
DNAH11	DYN1
RRP12	RRP12
MPHOSPH10	MPP10
ZDHHC18	ERF2
TUBA3D	TUB3
ARHGAP40	LRG1
PABPN1L	SGN1
TBC1D26	MSB3
TBC1D26	MSB4
NEK9	KIN3
RP11-295K3.1	PEP4
SCO1	SCO2
SCO1	SCO1
PPP2CB	PPH21
PPP2CB	PPH22
LBR	ERG24
SLC38A1	AVT2
ARFGEF1	SEC7
RERG	RHB1
TAF10	TAF10
POLA2	POL12
RPUSD2	PUS9
RPUSD2	RIB2
ACTR3C	ARP3
BTAF1	MOT1
ARHGAP4	RGA1
ARHGAP4	RGA2
COPB1	SEC26
DNAJB8	SIS1
CHPT1	CPT1
CHPT1	EPT1
KLHDC1	KEL2
KLHDC1	KEL1
PPTC7	PTC7
STK24	SPS1
WDR18	IPI3
FURIN	KEX2
SLC30A4	ZRC1
SLC30A4	COT1
ALPPL2	PHO8
CDC42BPA	CBK1
AHCY	SAH1
TIMM44	TIM44
NUTF2	NTF2
TAT	BNA3
MSI2	HRP1
HK2	GLK1
HK2	HXK2
GRHPR	GOR1
AK4	ADK2
ROCK2	CBK1
UCP1	DIC1
COX18	OXA1
OSGEP	KAE1
ARHGAP35	RGA1
ARHGAP35	RGA2
THOC3	TEX1
SLC25A20	CRC1
MSH5	MSH5
TBC1D22A	GYP1
CMPK1	URA6
PIGG	LAS21
MTHFD1L	MIS1
SLC25A41	LEU5
SLC25A14	DIC1
ADA	AAH1
MAP2K1	PBS2
ACSF2	PCS60
CRY2	PHR1
HSPA1L	SSA3
GGT2	ECM38
GABARAP	ATG8
SBK1	CHK1
SC5D	ERG3
PTPRC	PTP1
SUCLA2	LSC2
MAPK4	FUS3
MAPK4	KSS1
NAP1L3	NAP1
CAPNS2	PEF1
THNSL2	THR4
FKBP10	FPR2
AUH	ECI1
AUH	DCI1
REM1	RAS1
REM1	RAS2
DIEXF	UTP25
SGTA	SGT2
PSMB1	PRE7
SLC15A4	PTR2
CABP5	CMD1
USP17L28	UBP8
SLC9A8	NHX1
KPNA7	SRP1
CAP2	SRV2
UBB	UBI4
RP5-877J2.1	AQY1
RP5-877J2.1	AQY2
USP38	UBP13
USP38	UBP9
KIF22	KIP3
SEC14L6	SEC14
TPRKB	CGI121
METTL18	HPM1
IQGAP2	IQG1
FBP1	FBP1
PEF1	PEF1
HERC5	HUL4
RBM42	PUB1
ATP6V1G2	VMA10
MTMR8	YMR1
STRADA	STE20
MON1B	MON1
LEO1	LEO1
TKTL1	TKL1
MRPL11	MRPL19
PGGHG	ATH1
TBC1D3B	MSB3
TBC1D3B	MSB4
MCM9	MCM2
KIF26A	SMY1
TPR	MLP1
TPR	MLP2
TTK	MPS1
KIF16B	KIP1
KIF16B	CIN8
PPME1	PPE1
RANBP1	YRB1
PDIA4	PDI1
PDIA4	EUG1
DMAP1	SWC4
REEP4	YOP1
RPF2	RPF2
SRR	SRY1
GLUD2	GDH1
GLUD2	GDH3
LPIN3	PAH1
RNF144A	ITT1
USP49	UBP5
USP49	DOA4
AQP8	AQY1
AQP8	AQY2
HECTD1	UFD4
RFC1	RFC1
PMPCA	MAS2
DCLRE1A	PSO2
MRPS9	MRPS9
PIP5K1C	MSS4
TRAP1	HSC82
PPAT	ADE4
ARHGAP10	BEM2
PRKAA2	SNF1
SEC22C	SEC22
MLST8	LST8
PPIL4	CPR2
PPIL4	CPR5
DPYSL3	DAL1
CCNL1	SSN8
PMS2	PMS1
GSR	GLR1
FOXP1	FKH2
FOXP1	FKH1
FOXP1	FHL1
TSNARE1	PEP12
RAD17	RAD24
DRC3	SDS22
SSRP1	POB3
PSMD3	RPN3
KDM2A	JHD1
LPCAT3	ALE1
RAB35	YPT1
GABARAPL1	ATG8
ARL11	ARF1
CHI3L1	CTS2
CLUH	CLU1
CTSD	PEP4
NOP9	NOP9
RASA3	BUD2
DCLK3	DUN1
H2AFB1	HTA1
CAMK1	CMK1
CAMK1	CMK2
CCNA1	CLB4
CCNA1	CLB6
CCNA1	CLB5
CCNA1	CLB1
CCNA1	CLB2
CCNA1	CLB3
SMPD1	PPN1
UBC	UBI4
SFXN3	FSF1
CDKL2	KIN28
SRPK3	SKY1
ALAD	HEM2
MAN1A2	MNS1
ATP5C1	ATP3
HIST1H2BC	HTB1
ARHGAP30	RGD1
DHX16	PRP22
GLRX3	GRX3
GLRX3	GRX4
DCLK2	DUN1
MVD	MVD1
SCP2	FOX2
CDC5L	CEF1
SLC25A47	CRC1
KHDRBS2	MSL5
ARHGAP15	BEM2
CAP1	SRV2
ADH4	SFA1
SLX1B	SLX1
CDC14B	CDC14
PCYT1A	PCT1
RARS2	MSR1
BLM	SGS1
DDX25	DBP5
IDH3G	IDH1
ENTPD6	GDA1
SLC30A1	ZRC1
SLC30A1	COT1
SCP2D1	FOX2
ATRX	RAD54
GNL3	NUG1
HIPK3	YAK1
DNPEP	APE4
CDC42	CDC42
SLC47A2	ERC1
GPCPD1	GDE1
RASGEF1A	CDC25
DNAJC7	SIS1
PPIAL4G	CPR3
PPIAL4G	CPR1
TBL1X	SIF2
XPNPEP1	FRA1
UBE2A	RAD6
BRIX1	BRX1
PPIL3	CPR2
PPIL3	CPR5
SLC39A5	YKE4
GNB5	STE4
APAF1	PRP4
RUVBL1	RVB1
HSD17B6	LYS2
IARS	ILS1
SEC63	SEC63
ARCN1	RET2
RHEBL1	RHB1
BLMH	LAP3
PTRH1	PTH1
PPP2R1B	TPD3
MSH4	MSH4
KDELR1	ERD2
AKAP13	ROM1
AKAP13	ROM2
RANGAP1	RNA1
ERCC2	RAD3
TXN	TRX1
TXN	TRX2
NBEAL2	BPH1
TAZ	TAZ1
TUBG1	TUB4
NCALD	FRQ1
EIF4A3	FAL1
RBMX2	IST3
ORMDL3	ORM1
ORMDL3	ORM2
CYTH3	SEC7
P4HB	PDI1
P4HB	EUG1
TSSK4	KIN4
TSSK4	FRK1
RP11-577H5.5	RPB11
DDX53	DBP2
USP16	UBP5
USP16	DOA4
TM7SF2	ERG24
TNPO2	KAP104
MOB1A	MOB1
CHD8	CHD1
ASH1L	SET2
TBC1D15	GYP7
CDC25B	MIH1
AGPAT5	CST26
SDHB	SDH2
AP4S1	APS1
KLF2	FZF1
PIK3CA	VPS34
CETN3	CDC31
PPM1B	PTC2
PPM1B	PTC3
PPIAL4C	CPR3
PPIAL4C	CPR1
PQLC2	YPQ1
PQLC2	RTC2
PQLC2	YPQ2
XPC	RAD4
CHD6	CHD1
INPPL1	INP53
INPPL1	INP51
INPPL1	INP52
CORO6	CRN1
AP3M2	APM1
HNRNPM	HRB1
HNRNPM	GBP2
MTRR	NCP1
CHMP1A	DID2
TRMT6	GCD10
CHD9	CHD1
CCND3	CLB4
CCND3	CLB6
CCND3	CLB5
CCND3	CLB1
CCND3	CLB2
CCND3	CLB3
MBOAT1	ALE1
HIST1H3E	HHT1
HIST1H3E	HHT2
FOLH1	VPS70
HSPA6	SSB1
CCNB1	CLB4
CCNB1	CLB6
CCNB1	CLB5
CCNB1	CLB1
CCNB1	CLB2
CCNB1	CLB3
UMPS	URA3
SLC39A8	YKE4
SHMT1	SHM1
SHMT1	SHM2
DMXL2	RAV1
SGPL1	DPL1
IDI1	IDI1
USP17L27	UBP8
MAPK15	FUS3
MAPK15	KSS1
CHMP4A	SNF7
USP33	UBP5
USP33	DOA4
ALDH3A2	HFD1
TOX3	POB3
PSD4	GEA2
PSD4	GEA1
OSBPL11	OSH7
OSBPL11	OSH6
ONECUT1	COY1
CCS	SOD1
SLC2A7	VPS73
UGGT2	KRE5
PTPRN	PTP1
CDK18	PHO85
GNAS	GPA1
SLC7A8	MUP1
SLC7A8	MUP3
SLC2A11	VPS73
AQP6	AQY1
AQP6	AQY2
GYG1	GLG1
GYG1	GLG2
RAB4B-EGLN2	YPT31
RAB4B-EGLN2	YPT32
HERC3	HUL4
CCNL2	SSN8
PSMC6	RPT4
SENP1	ULP1
FANCM	MPH1
TP53RK	BUD32
CDS1	CDS1
DMC1	DMC1
TBC1D3C	MSB3
TBC1D3C	MSB4
ITSN1	EDE1
XRCC6	YKU70
REM2	RAS1
REM2	RAS2
ENDOG	NUC1
FBXW7	MET30
KPNA4	SRP1
WDR43	UTP5
HIST1H4A	HHF1
HIST1H4A	HHF2
HIST1H3B	HHT1
HIST1H3B	HHT2
PNCK	CMK1
PNCK	CMK2
MYL6	MLC1
POLR2J3	RPB11
WEE2	SWE1
MYO3A	MYO2
DDX56	DBP9
ENPP1	NPP1
ENPP1	NPP2
SNX8	MVP1
CACNA1A	CCH1
CKAP5	STU2
MEF2B	RLM1
ACBD4	ACB1
BCKDK	PKP1
IDO1	BNA2
CLIP3	NIP100
RPL36A	RPL42A
RPL36A	RPL42B
DLD	LPD1
GMPS	GUA1
VPS13C	VPS13
RBBP7	HAT2
ARG1	CAR1
PRUNE1	PPX1
PAPD7	TRF5
PAPD7	PAP2
SLC25A1	CTP1
GID4	VID24
ARHGEF12	ROM1
ARHGEF12	ROM2
QRSL1	HER2
NAA11	ARD1
PPEF1	PPT1
PHKG1	DUN1
RAD23B	RAD23
TNNC1	CMD1
FAM58A	SSN8
ECHDC3	ECI1
ECHDC3	DCI1
KAT6A	ESA1
PGA4	PEP4
CUL3	CDC53
ZDHHC14	ERF2
TBC1D3H	MSB3
TBC1D3H	MSB4
TRUB1	PUS4
IDH2	IDP1
PSMC1	RPT2
SLC47A1	ERC1
CSTF3	RNA14
TGDS	GAL10
PRKDC	MEC1
TYMS	CDC21
RASA1	BUD2
CLCN6	GEF1
PDP2	PTC5
RRAD	RAS1
RRAD	RAS2
FAU	RPS30B
FAU	RPS30A
WDFY3	BPH1
ARIH1	HEL1
TOM1L1	GGA2
TOM1L1	GGA1
ENPP3	NPP1
ENPP3	NPP2
EMC3	EMC3
METTL10	EFM4
PGK2	PGK1
GART	ADE5,7
HERC6	HUL4
DSTN	COF1
DAPK3	MEK1
ARL4A	ARF1
USP9X	UBP15
AFG3L2	AFG3
COQ2	COQ2
CCNO	CLB4
CCNO	CLB6
CCNO	CLB5
CCNO	CLB1
CCNO	CLB2
CCNO	CLB3
